model,f1,auc,precision,recall
LSTM-AE,0.32660403757745354,0.7013384954175548,0.8405349794238683,0.20267923592160755
GNN,0.3798556732688469,0.5509286926060172,0.4983883964544722,0.30687174398412304
Physics-EKF,0.0,0.4726278076040987,0.0,0.0
Hybrid-IDS,0.3322356384924991,0.5942142630438361,0.6327526132404181,0.22525427933515257
