model,f1,auc,precision,recall
LSTM-AE,0.5928853754940712,0.7463552318419384,0.7159904534606205,0.5059021922428331
GNN,0.3934010152284264,0.6650062390617089,0.7948717948717948,0.26138279932546377
Physics-EKF,0.0,0.3641957590326863,0.0,0.0
Hybrid-IDS,0.37104072398190047,0.5522665933128421,0.563573883161512,0.2765598650927487
