attack_id,attack_name,model,f1,n_samples
0,Normal,LSTM-AE,0.0,932
1,SourceSpike,LSTM-AE,0.7606,44
2,CompRamp,LSTM-AE,0.9892,47
3,ValveForce,LSTM-AE,0.5806,44
4,DemandInject,LSTM-AE,0.45,31
5,PressureSpoof,LSTM-AE,0.9,55
6,FlowSpoof,LSTM-AE,0.6154,36
7,PLCLatency,LSTM-AE,0.6275,70
8,PipeLeak,LSTM-AE,0.638,111
9,FDI_Stealthy,LSTM-AE,0.76,31
10,ReplayAttack,LSTM-AE,0.0,38
0,Normal,GNN,0.0,932
1,SourceSpike,GNN,0.3704,44
2,CompRamp,GNN,0.9438,47
3,ValveForce,GNN,0.3704,44
4,DemandInject,GNN,0.1212,31
5,PressureSpoof,GNN,0.642,55
6,FlowSpoof,GNN,0.5882,36
7,PLCLatency,GNN,0.4444,70
8,PipeLeak,GNN,0.1653,111
9,FDI_Stealthy,GNN,0.2286,31
10,ReplayAttack,GNN,0.0513,38
0,Normal,Hybrid-IDS,0.0,932
1,SourceSpike,Hybrid-IDS,0.5806,44
2,CompRamp,Hybrid-IDS,0.9892,47
3,ValveForce,Hybrid-IDS,0.4561,44
4,DemandInject,Hybrid-IDS,0.0625,31
5,PressureSpoof,Hybrid-IDS,0.642,55
6,FlowSpoof,Hybrid-IDS,0.0541,36
7,PLCLatency,Hybrid-IDS,0.4091,70
8,PipeLeak,Hybrid-IDS,0.1186,111
9,FDI_Stealthy,Hybrid-IDS,0.3243,31
10,ReplayAttack,Hybrid-IDS,0.2727,38
