scenario_id,n_rows,p_mean,p_std,pct_floor,pct_ceil,diverged
1,5714,21.66770967098355,2.2397880566939246,0.0,0.0,False
2,5675,21.63816573920705,2.168389720808499,0.0,0.0,False
3,6078,21.603027495886803,2.312963097222694,0.0,0.0,False
4,5795,22.206319120793786,2.7547045552996074,0.0,0.0,False
5,6306,21.278340419441804,2.2175902596785084,0.0,0.0,False
6,5814,21.830906079291363,2.391426191332578,0.0,0.0,False
7,5935,21.851562776748104,2.431160590837752,0.0,0.0,False
8,5962,21.32940034048977,2.2081492229545625,0.0,0.0,False
9,5814,21.604040696594428,2.3915255108542532,0.0,0.0,False
10,5834,21.585011043880698,2.2489439744290918,0.0,0.0,False
11,5988,21.42849950734803,2.2335965624690384,0.0,0.0,False
12,5727,21.790335150165877,2.3631475638678148,0.0,0.0,False
13,5875,21.987333164255322,2.6264095633830293,0.0,0.0,False
14,6179,21.96475425149701,2.6181954161969756,0.0,0.0,False
15,6207,21.71426959964556,2.411095195264228,0.0,0.0,False
16,6251,21.55564837785954,2.385781031357152,0.0,0.0,False
17,6301,21.904938768449455,2.533271177699309,0.0,0.0,False
18,6344,21.425329308795714,2.130180166558317,0.0,0.0,False
19,6083,22.072098463751434,2.5921817272221914,0.0,0.0,False
20,6110,21.742052842880526,2.3300792926628775,0.0,0.0,False
21,6021,21.653015597907324,2.367793358502163,0.0,0.0,False
22,6161,21.526186730238592,2.2979313693011196,0.0,0.0,False
23,5773,22.159840963104106,2.574902455920071,0.0,0.0,False
24,6004,21.635687429213856,2.349773350468063,0.0,0.0,False
25,5941,21.70532429388992,2.537958615569706,0.0,0.0,False
26,5830,21.86795080960549,2.5746175021217743,0.0,0.0,False
27,5806,21.62920275318636,2.251343052370868,0.0,0.0,False
28,5981,22.005973837986957,2.456800180266573,0.0,0.0,False
29,5712,21.513709858193277,2.304979520789026,0.0,0.0,False
30,6116,21.927419210268148,2.4289426849043174,0.0,0.0,False
31,6112,21.84566958687827,2.4666516334413795,0.0,0.0,False
32,5914,21.95781103990531,2.341537569451764,0.0,0.0,False
33,6001,21.747976801366438,2.365545822058785,0.0,0.0,False
34,6115,21.761305962387574,2.5329076032052407,0.0,0.0,False
35,6071,21.694642764783396,2.3375609802573334,0.0,0.0,False
36,6147,21.673134062144133,2.379975491227212,0.0,0.0,False
37,6432,21.626427617381843,2.478315669997303,0.0,0.0,False
38,6309,21.917706154699637,2.4467436627835,0.0,0.0,False
39,5916,21.59124518762677,2.1734552025923595,0.0,0.0,False
40,6194,21.62683783823055,2.3033275471082386,0.0,0.0,False
41,6068,21.635942369808834,2.3674601561098663,0.0,0.0,False
42,6532,21.785802142529086,2.407938050188967,0.0,0.0,False
43,5981,21.679343623975925,2.3118469815879403,0.0,0.0,False
44,6278,21.540550947754067,2.2642534382702038,0.0,0.0,False
45,5956,21.780607609133646,2.4490296401607767,0.0,0.0,False
46,5710,21.61232918301226,2.2612116407547282,0.0,0.0,False
47,6323,22.041352471927883,2.493924132331459,0.0,0.0,False
48,5951,21.69272992858343,2.3434583971877334,0.0,0.0,False
49,5960,21.956369755872483,2.337662449172416,0.0,0.0,False
50,6397,21.74904570423636,2.515658921234138,0.0,0.0,False
51,6187,21.833469325197996,2.277339625256203,0.0,0.0,False
52,6172,21.897772017984448,2.424004109749496,0.0,0.0,False
53,5715,21.5249022152231,2.236552107385313,0.0,0.0,False
54,6156,21.705689245451595,2.2849762231984907,0.0,0.0,False
55,6245,21.70014620256205,2.4387949846346606,0.0,0.0,False
56,6115,21.60647601553557,2.54589714392435,0.0,0.0,False
57,6274,21.63352620019127,2.121700709517675,0.0,0.0,False
58,6426,21.9567141005291,2.505474016088221,0.0,0.0,False
59,6271,21.665909346994102,2.3531508590382004,0.0,0.0,False
60,6133,21.41979857573781,2.304050068332894,0.0,0.0,False
61,6008,21.92044552180426,2.545216375584146,0.0,0.0,False
62,5876,21.487458892103472,2.3059841056025494,0.0,0.0,False
63,6106,21.487796917785783,2.184363815972356,0.0,0.0,False
64,5831,21.96479196621506,2.545992723183137,0.0,0.0,False
65,6141,21.379788006839277,2.387249505960905,0.0,0.0,False
66,5950,21.747812709243696,2.3889141479352847,0.0,0.0,False
67,6003,21.89238777444611,2.4109579216684325,0.0,0.0,False
68,6162,21.361533051768905,2.3067735051750757,0.0,0.0,False
69,5772,21.63792733021483,2.264084497636384,0.0,0.0,False
70,6004,21.57969879497002,2.1665441849492875,0.0,0.0,False
71,6213,21.703670832126186,2.467096449399084,0.0,0.0,False
72,5783,21.65703778575134,2.3069430008821183,0.0,0.0,False
73,6049,21.796757883121177,2.4560936804184275,0.0,0.0,False
74,6599,21.815189831035003,2.393141289517744,0.0,0.0,False
75,6017,21.371055634867872,2.2037946789241705,0.0,0.0,False
76,6207,21.624976229257285,2.2800806004333642,0.0,0.0,False
