model,f1,auc,precision,recall
LSTM-AE,0.5103448275862069,0.5280373831775701,0.9736842105263158,0.34579439252336447
GNN,0.9553571428571429,0.5672897196261681,0.9145299145299145,1.0
Physics-EKF,0.05454545454545454,0.4224299065420561,1.0,0.028037383177570093
Hybrid-IDS,0.7415730337078652,0.5280373831775701,0.9295774647887324,0.616822429906542
