scenario_id,n_rows,p_mean,p_std,pct_floor,pct_ceil,diverged
1,5400,21.73422596851852,2.3856559947716467,0.0,0.0,False
2,5400,21.580606965740742,2.3318698302615783,0.0,0.0,False
3,5400,21.63163885740741,2.273616775343961,0.0,0.0,False
4,5400,21.847036736111114,2.388171144449783,0.0,0.0,False
5,5400,21.499867239814815,2.249028573537673,0.0,0.0,False
6,5400,21.864530335185187,2.4328857303839966,0.0,0.0,False
7,5400,21.827206585185188,2.4428304988780276,0.0,0.0,False
8,5400,21.591048520370368,2.2375889681005767,0.0,0.0,False
9,5400,21.856667667592593,2.419814189688624,0.0,0.0,False
10,5400,21.622295233333332,2.244237263416522,0.0,0.0,False
11,5400,21.68106516574074,2.387898040972243,0.0,0.0,False
12,5400,21.597555072222224,2.2269959167814215,0.0,0.0,False
13,5400,21.913822305555556,2.543989076098733,0.0,0.0,False
14,5400,21.896798338888896,2.513289585373531,0.0,0.0,False
15,5400,21.809347874074074,2.3472515200570454,0.0,0.0,False
16,5400,21.69152100740741,2.427245687122619,0.0,0.0,False
17,5400,21.84488510555556,2.4496990110814307,0.0,0.0,False
18,5400,21.526627696296295,2.1428680435707665,0.0,0.0,False
19,5400,22.00338237037037,2.4674020867637756,0.0,0.0,False
20,5400,21.691131387962965,2.1983902641478124,0.0,0.0,False
21,5400,21.632892962037033,2.296870439957621,0.0,0.0,False
22,5400,21.517650838888887,2.268672888063277,0.0,0.0,False
23,5400,21.85874107407408,2.280018386676949,0.0,0.0,False
24,5400,21.79532396203704,2.3695820077801786,0.0,0.0,False
25,5400,21.811831336111112,2.506647514026009,0.0,0.0,False
26,5400,21.884876832407407,2.505941017304534,0.0,0.0,False
27,5400,21.62113040185185,2.1990476771838257,0.0,0.0,False
28,5400,21.986624509259258,2.4087982048013306,0.0,0.0,False
29,5400,21.808820162037037,2.546567135196378,0.0,0.0,False
30,5400,21.772559035185186,2.329138453791213,0.0,0.0,False
