model,f1,auc,precision,recall
LSTM-AE,0.14,0.508865089111405,0.9318181818181818,0.07568565400843882
GNN,0.0,0.5833509142053446,0.0,0.0
Physics-EKF,0.010484927916120577,0.4663456189516552,0.8695652173913043,0.005274261603375527
Hybrid-IDS,0.0,0.5746528433780465,0.0,0.0
