scenario_id,n_rows,p_mean,p_std,pct_floor,pct_ceil,diverged
1,1800,21.85,2.437,0.0,0.0,False
10,1800,21.871,2.449,0.0,0.0,False
100,1800,21.868,2.447,0.0,0.0,False
101,1800,21.837,2.498,0.0,0.0,False
102,1800,21.012,2.156,0.0,0.0,False
103,1800,21.844,2.438,0.0,0.0,False
104,1800,21.873,2.518,0.0,0.0,False
105,1800,21.016,2.158,0.0,0.0,False
106,1800,20.917,2.214,0.0,0.0,False
107,1800,21.863,2.52,0.0,0.0,False
108,1800,21.015,2.161,0.0,0.0,False
109,1800,21.828,2.432,0.0,0.0,False
11,1800,21.894,2.526,0.0,0.0,False
110,1800,21.908,2.536,0.0,0.0,False
111,1800,21.053,2.189,0.0,0.0,False
112,1800,21.853,2.441,0.0,0.0,False
113,1800,21.785,2.476,0.0,0.0,False
114,1800,21.042,2.181,0.0,0.0,False
115,1800,21.851,2.44,0.0,0.0,False
116,1800,21.026,2.179,0.0,0.0,False
117,1800,21.857,2.443,0.0,0.0,False
118,1800,21.069,2.194,0.0,0.0,False
119,1800,21.804,2.424,0.0,0.0,False
12,1800,21.055,2.182,0.0,0.0,False
120,1800,21.066,2.194,0.0,0.0,False
121,1800,18.582,4.477,0.0783,0.0,False
122,1800,18.564,4.522,0.0954,0.0,False
123,1800,18.595,4.468,0.0703,0.0,False
124,1800,18.669,4.496,0.0429,0.0,False
125,1800,18.621,4.459,0.0425,0.0,False
126,1800,18.635,4.49,0.0603,0.0,False
127,1800,18.595,4.473,0.0451,0.0,False
128,1800,18.649,4.522,0.031,0.0,False
129,1800,18.61,4.455,0.0583,0.0,False
13,1800,21.867,2.446,0.0,0.0,False
130,1800,18.666,4.484,0.0283,0.0,False
131,1800,18.58,4.483,0.0769,0.0,False
132,1800,18.668,4.626,0.0807,0.0,False
133,1800,18.604,4.456,0.0327,0.0,False
134,1800,18.604,4.465,0.061,0.0,False
135,1800,18.594,4.443,0.0444,0.0,False
136,1800,18.612,4.479,0.0556,0.0,False
137,1800,18.726,4.565,0.0318,0.0,False
138,1800,18.604,4.506,0.0978,0.0,False
139,1800,18.637,4.539,0.0389,0.0,False
14,1800,21.965,2.571,0.0,0.0,False
140,1800,18.63,4.427,0.0292,0.0,False
141,1800,18.624,4.54,0.0941,0.0,False
142,1800,18.568,4.489,0.0819,0.0,False
143,1800,18.601,4.543,0.0648,0.0,False
144,1800,18.569,4.472,0.0374,0.0,False
145,1800,18.682,4.595,0.0309,0.0,False
146,1800,18.606,4.447,0.0518,0.0,False
147,1800,18.457,4.351,0.0333,0.0,False
148,1800,18.571,4.46,0.0579,0.0,False
149,1800,18.594,4.47,0.0473,0.0,False
15,1800,21.031,2.174,0.0,0.0,False
150,1800,18.595,4.484,0.0446,0.0,False
151,1800,18.56,4.465,0.0959,0.0,False
152,1800,18.628,4.577,0.0897,0.0,False
153,1800,18.582,4.462,0.0574,0.0,False
154,1800,18.61,4.512,0.0478,0.0,False
155,1800,18.586,4.482,0.0752,0.0,False
156,1800,18.578,4.499,0.0485,0.0,False
157,1800,18.63,4.441,0.0333,0.0,False
158,1800,18.646,4.498,0.0418,0.0,False
159,1800,18.619,4.47,0.0398,0.0,False
16,1800,21.773,2.417,0.0,0.0,False
160,1800,18.616,4.549,0.0835,0.0,False
161,1800,18.617,4.468,0.0412,0.0,False
162,1800,18.656,4.512,0.0309,0.0,False
163,1800,18.605,4.485,0.0437,0.0,False
164,1800,18.598,4.467,0.0431,0.0,False
165,1800,18.633,4.428,0.0321,0.0,False
166,1800,18.617,4.443,0.0392,0.0,False
167,1800,18.636,4.518,0.0483,0.0,False
168,1800,18.595,4.45,0.0439,0.0,False
169,1800,18.626,4.487,0.0371,0.0,False
17,1800,21.899,2.544,0.0,0.0,False
170,1800,18.566,4.458,0.0668,0.0,False
171,1800,18.742,4.572,0.0358,0.0,False
172,1800,18.586,4.476,0.0472,0.0,False
173,1800,18.669,4.589,0.0359,0.0,False
174,1800,18.6,4.448,0.0588,0.0,False
175,1800,18.694,4.615,0.0789,0.0,False
176,1800,18.558,4.45,0.0716,0.0,False
177,1800,18.654,4.576,0.0373,0.0,False
178,1800,18.638,4.438,0.0484,0.0,False
179,1800,18.599,4.465,0.0424,0.0,False
18,1800,20.995,2.143,0.0,0.0,False
180,1800,18.613,4.451,0.0352,0.0,False
181,1800,18.589,4.46,0.058,0.0,False
182,1800,18.621,4.545,0.071,0.0,False
183,1800,18.596,4.431,0.0341,0.0,False
184,1800,18.63,4.524,0.0445,0.0,False
185,1800,18.597,4.461,0.0378,0.0,False
186,1800,18.71,4.604,0.0627,0.0,False
187,1800,18.594,4.438,0.0504,0.0,False
188,1800,18.637,4.55,0.0443,0.0,False
189,1800,18.582,4.486,0.0828,0.0,False
19,1800,21.802,2.421,0.0,0.0,False
190,1800,18.643,4.506,0.0386,0.0,False
191,1800,18.614,4.43,0.0285,0.0,False
192,1800,18.61,4.481,0.0389,0.0,False
193,1800,18.542,4.473,0.0961,0.0,False
194,1800,18.599,4.477,0.0568,0.0,False
195,1800,18.572,4.494,0.0965,0.0,False
196,1800,17.812,3.663,0.0,0.0,False
197,1800,17.299,4.014,0.0,0.0,False
198,1800,17.814,3.663,0.0,0.0,False
199,1800,17.274,3.995,0.0,0.0,False
2,1800,21.91,2.533,0.0,0.0,False
20,1800,21.041,2.183,0.0,0.0,False
200,1800,17.84,3.68,0.0,0.0,False
201,1800,17.255,3.967,0.0,0.0,False
202,1800,17.808,3.658,0.0,0.0,False
203,1800,17.266,3.993,0.0,0.0,False
204,1800,17.841,3.697,0.0,0.0,False
205,1800,17.295,4.024,0.0,0.0,False
206,1800,17.815,3.649,0.0,0.0,False
207,1800,17.279,4.001,0.0,0.0,False
208,1800,17.842,3.681,0.0,0.0,False
209,1800,17.276,4.004,0.0,0.0,False
