model,f1,auc,precision,recall
LSTM-AE-recal,0.20012666244458518,0.8949134583364295,0.14183123877917414,0.33978494623655914
GNN-recal,0.05785953177257525,0.6516660749523188,0.030100043497172685,0.7440860215053764
Physics-EKF-recal,0.07476635514018691,0.5551028069277365,0.05421103581800581,0.12043010752688173
