model,f1,auc,precision,recall
LSTM-AE,0.5103448275862069,0.5177570093457944,0.9736842105263158,0.34579439252336447
GNN,0.9553571428571429,0.5616822429906542,0.9145299145299145,1.0
Physics-EKF,0.05454545454545454,0.4224299065420561,1.0,0.028037383177570093
Hybrid-IDS,0.8682926829268293,0.5289719626168224,0.9081632653061225,0.8317757009345794
