model,f1,auc,precision,recall
LSTM-AE,0.3693079956973826,0.6927677365366456,0.7856598016781083,0.24138739161003048
GNN,0.33321787322480084,0.6070262255736145,0.6383543463835435,0.22545113662995078
Physics-EKF,0.0,0.38072043568473457,0.0,0.0
Hybrid-IDS,0.3329143472795834,0.637577135400798,0.7119815668202765,0.2172486524490274
