attack_id,attack_name,model,f1,n_samples
0,Normal,LSTM-AE,0.0,6152
1,SourceSpike,LSTM-AE,0.2689,354
2,CompRamp,LSTM-AE,0.5728,441
3,ValveForce,LSTM-AE,0.1351,207
4,DemandInject,LSTM-AE,0.1814,391
5,PressureSpoof,LSTM-AE,0.9181,383
6,FlowSpoof,LSTM-AE,0.3264,323
7,PLCLatency,LSTM-AE,0.0967,315
8,PipeLeak,LSTM-AE,0.0143,556
9,FDI_Stealthy,LSTM-AE,0.6175,403
10,ReplayAttack,LSTM-AE,0.1254,314
0,Normal,GNN,0.0,6152
1,SourceSpike,GNN,0.2166,354
2,CompRamp,GNN,0.5493,441
3,ValveForce,GNN,0.1921,207
4,DemandInject,GNN,0.1982,391
5,PressureSpoof,GNN,0.7724,383
6,FlowSpoof,GNN,0.2155,323
7,PLCLatency,GNN,0.2051,315
8,PipeLeak,GNN,0.0893,556
9,FDI_Stealthy,GNN,0.7083,403
10,ReplayAttack,GNN,0.3027,314
0,Normal,Hybrid-IDS,0.0,6152
1,SourceSpike,Hybrid-IDS,0.1705,354
2,CompRamp,Hybrid-IDS,0.5933,441
3,ValveForce,Hybrid-IDS,0.1267,207
4,DemandInject,Hybrid-IDS,0.1643,391
5,PressureSpoof,Hybrid-IDS,0.8429,383
6,FlowSpoof,Hybrid-IDS,0.1751,323
7,PLCLatency,Hybrid-IDS,0.1361,315
8,PipeLeak,Hybrid-IDS,0.0214,556
9,FDI_Stealthy,Hybrid-IDS,0.6544,403
10,ReplayAttack,Hybrid-IDS,0.2108,314
