run_id,seed,density,description,model,clean_run,family,fpr,f1,auc,precision,recall,detection_delay_median_s
6,678,normal,"Hybrid attack mix (A1,A5,A9)",LSTM-AE,False,ALL,,0.0456,0.9602,0.0233,1.0,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",LSTM-AE,False,Physical,,0.0095,0.9311,0.0048,1.0,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",LSTM-AE,False,Sensor,,0.0244,0.9655,0.0124,1.0,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",GNN,False,ALL,,0.0364,0.524,0.019,0.4678,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",GNN,False,Physical,,0.0028,0.2972,0.0014,0.1702,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",GNN,False,Sensor,,0.0276,0.6952,0.0141,0.6585,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",Physics-EKF,False,ALL,,0.0,0.6826,0.0,0.0,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",Physics-EKF,False,Physical,,0.0,0.6008,0.0,0.0,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",Physics-EKF,False,Sensor,,0.0,0.7384,0.0,0.0,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",Hybrid-IDS,False,ALL,,0.051,0.6978,0.0262,1.0,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",Hybrid-IDS,False,Physical,,0.0106,0.5491,0.0054,1.0,
6,678,normal,"Hybrid attack mix (A1,A5,A9)",Hybrid-IDS,False,Sensor,,0.0274,0.8093,0.0139,1.0,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",LSTM-AE,False,ALL,,0.1022,0.9122,0.0539,1.0,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",LSTM-AE,False,Physical,,0.0593,0.9236,0.0305,1.0,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",LSTM-AE,False,Sensor,,0.0227,0.8673,0.0115,1.0,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",GNN,False,ALL,,0.1123,0.757,0.0597,0.9523,
7,801,high,"Flow disruption attacks evening peak (A2,A6,A8)",GNN,False,Physical,,0.0651,0.7903,0.0337,0.9468,
