model,f1,auc,precision,recall
LSTM-AE,0.04544344001954557,0.8797427281058811,0.02325,1.0
GNN,0.06026088554106192,0.6510058318265259,0.03147490643892141,0.7053763440860215
Physics-EKF,0.0,0.5611316330490352,0.0,0.0
Hybrid-IDS,0.04544344001954557,0.7032995643331104,0.02325,1.0
