model,f1,auc,precision,recall
LSTM-AE,0.15285913528591352,0.6494664319401883,0.7806267806267806,0.0847247990105133
GNN,0.13456009200690053,0.6084760363628461,0.9590163934426229,0.07235621521335807
Physics-EKF,0.0,0.4594197830163143,0.0,0.0
Hybrid-IDS,0.1911001911001911,0.617855117649732,0.8158508158508159,0.10822510822510822
