model,f1,auc,precision,recall
LSTM-AE,0.2726483357452967,0.6647650649185894,0.8113695090439277,0.16385458340580972
GNN,0.38555770470664086,0.5577451217873972,0.5043576047230812,0.31205427030787963
Physics-EKF,0.001737921445950643,0.5146784155615537,1.0,0.0008697164724299878
Hybrid-IDS,0.26385454545454545,0.6195237755821356,0.80550621669627,0.1577665680987998
