model,f1,auc,precision,recall
LSTM-AE,0.7639778062313274,0.8234347585737454,0.8106884057971014,0.7223567393058918
GNN,0.428078250863061,0.7378912570696626,0.7454909819639278,0.30024213075060535
Physics-EKF,0.1946440235140431,0.3978516347780601,0.5102739726027398,0.12025827280064569
Hybrid-IDS,0.5786336542870243,0.8606244815769748,0.6698513800424628,0.5092816787732042
