model,f1,auc,precision,recall
LSTM-AE,0.05469944712386778,0.8949134583364295,0.028118763983793916,1.0
GNN,0.061400293255131966,0.6516660749523188,0.032066621996745474,0.7204301075268817
Physics-EKF,0.0,0.5551028069277365,0.0,0.0
Hybrid-IDS,0.060377848471077064,0.7692023415375216,0.031128665149283707,1.0
