model,f1,auc,precision,recall
LSTM-AE,0.2961108971890643,0.6941423950944103,0.825107296137339,0.18043172219615203
GNN,0.3774193548387097,0.5573470001872844,0.50312744331509,0.30197090567808543
Physics-EKF,0.0004691531785127844,0.4663398097274275,1.0,0.0002346316283435007
Hybrid-IDS,0.3136,0.5915647509643045,0.6471019809244314,0.20694509619896762
