scenario_id,n_rows,p_mean,p_std,pct_floor,pct_ceil,diverged
1,1800,21.84823836388889,2.1894250304984033,0.0,0.0,False
2,5400,21.580608130555557,2.331868846043897,0.0,0.0,False
3,1800,22.05540950833333,2.247074823004685,0.0,0.0,False
4,1800,22.069709891666665,2.321407372182801,0.0,0.0,False
5,1800,21.990224533333333,2.2014743777592183,0.0,0.0,False
6,5400,21.864530335185187,2.4328857303839966,0.0,0.0,False
7,5400,21.827210374074074,2.4428219663518425,0.0,0.0,False
8,5400,21.591048594444448,2.2375888898756764,0.0,0.0,False
9,5400,21.856667667592593,2.419814189688624,0.0,0.0,False
10,5400,21.622296543518516,2.2442361763275316,0.0,0.0,False
11,5400,21.681065383333333,2.3878978459147837,0.0,0.0,False
12,5400,21.597555737962963,2.2269941452646855,0.0,0.0,False
13,5400,21.913822512962966,2.5439889223756857,0.0,0.0,False
14,5400,21.89679928981482,2.5132888292576063,0.0,0.0,False
15,5400,21.809348675,2.347249424011697,0.0,0.0,False
16,5400,21.691521291666664,2.4272454364663574,0.0,0.0,False
17,5400,21.84488523703704,2.4496988909111868,0.0,0.0,False
18,5400,21.526627696296295,2.1428680435707665,0.0,0.0,False
19,1800,21.94629502777778,2.186725793866445,0.0,0.0,False
20,5400,21.691131713888893,2.1983899838314054,0.0,0.0,False
21,1800,21.71545246111111,2.2046988800941474,0.0,0.0,False
22,1800,21.78280326666667,2.3243735209641603,0.0,0.0,False
23,5400,21.85874107407408,2.280018386676949,0.0,0.0,False
24,5400,21.795323970370376,2.369581982125605,0.0,0.0,False
25,1800,22.016539877777777,2.277322121964691,0.0,0.0,False
26,1800,21.8935069,2.1329401923558087,0.0,0.0,False
27,5400,21.62114184814815,2.1990376886547676,0.0,0.0,False
28,1800,21.932289575000002,2.2220167079289674,0.0,0.0,False
29,1800,21.87000906388889,2.3165448697706896,0.0,0.0,False
30,5400,21.77256005092592,2.329137572138757,0.0,0.0,False
31,3600,21.749864674999998,2.4167874433226735,0.0,0.0,False
32,3600,21.937597909722225,2.349395155564026,0.0,0.0,False
33,3600,21.770545913888885,2.364294574729009,0.0,0.0,False
35,3600,21.579284602777776,2.24331189456723,0.0,0.0,False
36,3600,21.855857606944447,2.316784175896126,0.0,0.0,False
37,3600,21.606613766666666,2.4876729129879775,0.0,0.0,False
40,3600,21.951772579166665,2.4563610523258257,0.0,0.0,False
41,3600,21.80193683472222,2.4313177609463277,0.0,0.0,False
42,3600,21.765358247222224,2.417388288207793,0.0,0.0,False
43,3600,22.004695475000002,2.610197064374498,0.0,0.0,False
44,3600,21.532676805555557,2.2706274365040153,0.0,0.0,False
45,3600,21.91802519166667,2.4233509494437864,0.0,0.0,False
48,3600,21.6372273125,2.30678602542236,0.0,0.0,False
49,3600,21.659513863888886,2.2685181089954503,0.0,0.0,False
50,3600,21.770581004166665,2.6024653934463156,0.0,0.0,False
51,3600,21.796809543055552,2.4301589361474125,0.0,0.0,False
52,3600,21.858749370833333,2.436392085966664,0.0,0.0,False
53,3600,21.4903268625,2.2399513512129605,0.0,0.0,False
54,3600,21.69019857777778,2.2904417545777616,0.0,0.0,False
55,3600,21.79011514722222,2.5891761173237042,0.0,0.0,False
58,3600,21.962931490277782,2.527849261392182,0.0,0.0,False
59,3600,21.627573870833334,2.367046291999721,0.0,0.0,False
61,3600,22.125525747222223,2.6985862027719714,0.0,0.0,False
62,3600,21.549856725,2.2988106576051925,0.0,0.0,False
63,3600,21.493520345833332,2.1834634819578294,0.0,0.0,False
64,3600,21.87136473055556,2.6343331096119433,0.0,0.0,False
65,3600,21.372672831944445,2.412792693816322,0.0,0.0,False
66,3600,21.780210244444444,2.2499352099966856,0.0,0.0,False
67,3600,21.87746856388889,2.4354731606279287,0.0,0.0,False
68,3600,21.35854135972222,2.3138693563338064,0.0,0.0,False
69,3600,21.638599075,2.451369349645776,0.0,0.0,False
73,3600,21.731957859722222,2.567844343076969,0.0,0.0,False
74,3600,21.82165867222222,2.3985015414204307,0.0,0.0,False
75,3600,21.33995066527778,2.2198709522816866,0.0,0.0,False
76,3600,21.589512384722223,2.285059966178941,0.0,0.0,False
77,3600,21.618072216666665,2.3308738784613303,0.0,0.0,False
78,3600,21.66707956111111,2.373606050845662,0.0,0.0,False
80,3600,21.60161063888889,2.2553348846620276,0.0,0.0,False
82,3600,21.729010931944444,2.589327986250072,0.0,0.0,False
86,3600,21.379163225,2.2590858978722737,0.0,0.0,False
87,3600,21.685956370833335,2.2881001806065906,0.0,0.0,False
88,3600,21.756306356944446,2.3304091102164888,0.0,0.0,False
91,3600,21.861459601388887,2.5784936975513397,0.0,0.0,False
92,3600,21.618512540277777,2.2928014839051984,0.0,0.0,False
95,3600,21.43831158333333,2.257958523908573,0.0,0.0,False
96,3600,21.70397362222222,2.398673393825114,0.0,0.0,False
97,3600,22.122534131944445,2.6808214519539084,0.0,0.0,False
98,3600,21.765935958333333,2.3431417127881007,0.0,0.0,False
99,3600,21.743971470833333,2.4018774915816383,0.0,0.0,False
101,3600,21.75401729861111,2.4697586401443288,0.0,0.0,False
102,3600,21.693011230555555,2.421181832579618,0.0,0.0,False
103,3600,21.593270259722225,2.35211350641316,0.0,0.0,False
104,3600,21.88568046388889,2.5004617150613417,0.0,0.0,False
105,3600,21.633887277777777,2.2795861139712112,0.0,0.0,False
107,3600,21.524609390277778,2.263423984764568,0.0,0.0,False
108,3600,21.597981423611113,2.2827998136009917,0.0,0.0,False
109,3600,21.648280816666666,2.583514290049516,0.0,0.0,False
110,3600,21.49818522777778,2.3279525238405676,0.0,0.0,False
111,3600,21.480310295833334,2.2268418565162515,0.0,0.0,False
112,3600,21.60533246111111,2.4423197139971364,0.0,0.0,False
113,3600,21.96541351111111,2.462365424401618,0.0,0.0,False
116,3600,21.826315233333332,2.3960009619072458,0.0,0.0,False
117,3600,21.7047954625,2.4343323052923784,0.0,0.0,False
118,3600,21.710035902777776,2.40220568129084,0.0,0.0,False
119,3600,21.924479199999997,2.5253557855895656,0.0,0.0,False
121,3600,21.68339952638889,3.3466473636568437,0.0,0.0,False
122,3600,20.966180722222223,2.9522128377499457,0.0,0.0,False
123,3600,21.272098263888893,3.0345577925807934,0.0,0.0,False
125,3600,20.959904395833334,3.0231195162626827,0.0,0.0,False
126,3600,21.35781019166667,3.0150026657668363,0.0,0.0,False
127,3600,21.468697159722222,3.1744013254354777,0.0,0.0,False
128,3600,21.249864098611113,3.1046442226068276,0.0,0.0,False
129,3600,21.25334745,3.1024033896476304,0.0,0.0,False
130,3600,21.46000236111111,3.265299320506422,0.0,0.0,False
131,3600,21.347745233333335,3.094407724549338,0.0,0.0,False
132,3600,20.97052581944444,2.9258795725706848,0.0,0.0,False
134,3600,21.225242393055556,2.9545171469493905,0.0,0.0,False
135,3600,21.093978691666663,2.9976359299781015,0.0,0.0,False
